               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.071725,            0.026917,            0.074516,             0.22435,             0.10435,            0.045895,            0.025421,              0.0499,           0.0094617,            0.064235,            0.070126,           0.0033194,           0.0033194
                   1,            0.049158,            0.021306,            0.066463,             0.70067,            0.096737,            0.062072,            0.038587,            0.044069,           0.0086404,            0.061809,             0.04006,           0.0065869,           0.0065869
                   2,            0.045823,            0.020195,            0.063055,             0.49167,             0.11405,            0.083701,             0.04573,            0.044703,           0.0090757,            0.058521,           0.0099278,           0.0097883,           0.0097883
                   3,            0.043092,            0.019846,            0.059723,             0.43764,             0.21885,             0.14128,            0.082787,            0.040511,           0.0094767,            0.051412,            0.009703,            0.009703,            0.009703
                   4,             0.04116,            0.020025,            0.056824,             0.53039,             0.26052,             0.17877,             0.11488,            0.037929,           0.0087521,            0.049891,            0.009703,            0.009703,            0.009703
                   5,            0.039595,            0.019932,             0.05478,             0.59951,             0.26507,             0.22293,             0.14518,             0.03537,           0.0086746,            0.048791,            0.009604,            0.009604,            0.009604
                   6,            0.038611,            0.019959,            0.052427,             0.60888,             0.27455,             0.27902,             0.18305,            0.035894,           0.0086947,            0.045772,            0.009505,            0.009505,            0.009505
                   7,            0.037875,            0.019418,            0.051073,             0.44324,             0.33259,             0.24095,             0.16438,            0.036184,            0.008838,            0.047216,            0.009406,            0.009406,            0.009406
                   8,            0.037041,            0.019532,            0.049042,             0.55696,             0.38594,             0.35117,             0.23415,            0.033974,           0.0081897,            0.043376,            0.009307,            0.009307,            0.009307
                   9,             0.03687,            0.018655,            0.048278,             0.56289,             0.40189,             0.34715,             0.23824,            0.033742,           0.0081615,            0.042389,            0.009208,            0.009208,            0.009208
                  10,            0.035708,            0.018228,            0.045099,             0.50493,             0.40947,             0.36678,             0.25401,            0.035356,           0.0081841,            0.040966,            0.009109,            0.009109,            0.009109
                  11,            0.035882,            0.018545,            0.046261,             0.62271,             0.41226,             0.40642,             0.28358,            0.032665,           0.0081982,            0.039575,             0.00901,             0.00901,             0.00901
                  12,            0.035214,             0.01865,            0.043191,             0.57562,             0.47127,              0.4515,             0.32231,            0.032203,           0.0078874,            0.038169,            0.008911,            0.008911,            0.008911
                  13,            0.034717,            0.017825,            0.042952,             0.59516,             0.42356,             0.42995,             0.29603,            0.033048,           0.0082537,            0.040131,            0.008812,            0.008812,            0.008812
                  14,            0.034475,            0.018208,            0.040847,             0.59058,              0.4521,             0.46244,             0.32513,            0.033589,           0.0083577,            0.038528,            0.008713,            0.008713,            0.008713
                  15,            0.034706,            0.018369,            0.040877,              0.6399,             0.44668,             0.48626,             0.34983,            0.033092,             0.00778,            0.037085,            0.008614,            0.008614,            0.008614
                  16,            0.034319,              0.0181,            0.039191,             0.67661,             0.49482,             0.54593,             0.39777,             0.03113,           0.0076598,            0.034634,            0.008515,            0.008515,            0.008515
                  17,            0.034212,            0.018403,            0.037946,               0.651,             0.52328,             0.55985,              0.4082,            0.031663,           0.0077595,            0.032724,            0.008416,            0.008416,            0.008416
                  18,            0.034302,            0.017862,            0.038822,             0.68393,             0.46791,             0.53143,             0.37367,            0.032055,           0.0078157,            0.034528,            0.008317,            0.008317,            0.008317
                  19,            0.034097,            0.017973,            0.037531,             0.65633,             0.53026,             0.56825,              0.4096,            0.030788,           0.0075042,            0.032175,            0.008218,            0.008218,            0.008218
                  20,            0.033563,            0.017632,            0.035703,             0.64979,             0.56423,             0.57448,             0.41799,            0.030614,            0.007484,            0.034784,            0.008119,            0.008119,            0.008119
                  21,            0.033599,            0.017753,            0.035312,             0.67767,             0.57018,             0.61265,             0.43736,            0.030716,           0.0075663,            0.031223,             0.00802,             0.00802,             0.00802
                  22,            0.033415,             0.01754,            0.033924,             0.70689,             0.57429,             0.63052,              0.4555,            0.029901,           0.0073942,            0.030064,            0.007921,            0.007921,            0.007921
                  23,            0.032613,            0.017334,            0.034715,             0.68069,             0.55523,             0.60763,             0.43349,            0.031788,           0.0079166,            0.034177,            0.007822,            0.007822,            0.007822
                  24,            0.032911,            0.017302,             0.03378,             0.65999,             0.56622,             0.62782,             0.45362,            0.031177,           0.0075743,            0.033055,            0.007723,            0.007723,            0.007723
                  25,            0.032745,            0.017425,            0.033514,             0.74565,              0.5383,             0.63349,             0.46331,            0.030193,           0.0075549,            0.032817,            0.007624,            0.007624,            0.007624
                  26,            0.033243,            0.017222,             0.03097,             0.65235,             0.59482,             0.63541,             0.47037,            0.030753,           0.0074971,            0.032353,            0.007525,            0.007525,            0.007525
                  27,            0.032605,            0.017238,             0.03247,             0.62979,             0.59685,             0.63945,              0.4683,            0.030434,           0.0075149,            0.032953,            0.007426,            0.007426,            0.007426
                  28,             0.03166,            0.016964,            0.030982,              0.6649,             0.62407,             0.65212,             0.48786,            0.030904,           0.0074166,            0.034141,            0.007327,            0.007327,            0.007327
                  29,            0.031803,            0.017168,            0.032046,             0.67724,             0.62185,             0.65347,             0.48799,            0.030168,           0.0074843,            0.033139,            0.007228,            0.007228,            0.007228
                  30,            0.031226,             0.01692,            0.029545,             0.71844,             0.64132,             0.68806,             0.52196,            0.029193,           0.0072955,            0.029764,            0.007129,            0.007129,            0.007129
                  31,            0.031466,            0.017254,             0.02927,             0.74114,              0.6097,             0.69796,              0.5106,            0.029596,           0.0072144,            0.028372,             0.00703,             0.00703,             0.00703
                  32,            0.030964,            0.016549,            0.029474,             0.74535,             0.64048,              0.7026,             0.52873,            0.029691,           0.0073984,            0.031303,            0.006931,            0.006931,            0.006931
                  33,            0.030872,            0.016872,            0.029951,             0.74394,               0.654,             0.71166,              0.5277,            0.029858,           0.0073592,            0.028671,            0.006832,            0.006832,            0.006832
                  34,            0.031129,            0.016751,             0.02918,             0.77983,              0.6174,             0.70806,               0.529,            0.030035,           0.0076278,             0.02872,            0.006733,            0.006733,            0.006733
                  35,            0.031346,            0.016756,            0.027689,             0.73366,             0.60863,             0.67774,             0.51278,            0.029767,            0.007672,            0.031348,            0.006634,            0.006634,            0.006634
                  36,             0.03059,            0.016607,            0.027652,             0.73875,             0.65764,             0.72189,             0.54188,            0.029708,           0.0076143,            0.028624,            0.006535,            0.006535,            0.006535
                  37,            0.030711,            0.016783,            0.026313,              0.7276,             0.67131,             0.71604,             0.52342,            0.029548,           0.0075028,            0.028437,            0.006436,            0.006436,            0.006436
                  38,            0.030145,            0.016374,            0.026973,             0.76618,              0.6755,             0.73787,              0.5525,            0.028816,           0.0071917,            0.027447,            0.006337,            0.006337,            0.006337
                  39,            0.030278,             0.01645,            0.027278,             0.76667,             0.66363,             0.72931,             0.55822,            0.028604,           0.0071743,            0.030439,            0.006238,            0.006238,            0.006238
                  40,            0.030085,            0.016627,            0.026383,             0.75991,             0.68677,             0.73229,             0.55666,            0.029378,           0.0072987,            0.031581,            0.006139,            0.006139,            0.006139
                  41,            0.029868,             0.01614,            0.025302,             0.78486,             0.69671,             0.76924,             0.58363,            0.028343,           0.0071561,            0.027664,             0.00604,             0.00604,             0.00604
                  42,            0.030353,            0.016524,            0.023764,             0.78549,             0.68751,             0.75209,              0.5802,            0.028019,           0.0070744,            0.031501,            0.005941,            0.005941,            0.005941
                  43,            0.029196,             0.01598,            0.025475,             0.81448,             0.67975,             0.75386,             0.58076,            0.028897,           0.0073166,            0.030262,            0.005842,            0.005842,            0.005842
                  44,            0.029643,            0.016398,             0.02304,             0.82106,             0.66174,             0.74331,             0.56759,            0.028249,           0.0070854,               0.031,            0.005743,            0.005743,            0.005743
                  45,            0.029523,            0.015821,            0.023453,             0.81461,             0.67667,             0.76009,             0.57645,            0.028977,           0.0072435,            0.028595,            0.005644,            0.005644,            0.005644
                  46,            0.029236,            0.016086,            0.023422,             0.76482,             0.68485,             0.74618,             0.57657,            0.028458,           0.0072149,            0.031713,            0.005545,            0.005545,            0.005545
                  47,            0.029045,            0.015708,            0.022514,             0.84388,             0.66736,             0.76034,              0.5853,            0.028285,           0.0070403,             0.03091,            0.005446,            0.005446,            0.005446
                  48,            0.029359,            0.015913,             0.02236,             0.74718,             0.71976,             0.75399,             0.58375,            0.027798,           0.0069475,            0.030465,            0.005347,            0.005347,            0.005347
                  49,            0.029437,            0.016234,            0.021064,             0.79459,              0.6814,             0.73778,             0.57449,            0.028137,           0.0071094,            0.033164,            0.005248,            0.005248,            0.005248
                  50,            0.028344,            0.015466,            0.021377,             0.78212,             0.69714,             0.76122,             0.59278,            0.028117,           0.0071466,            0.030012,            0.005149,            0.005149,            0.005149
                  51,            0.028967,            0.016314,            0.021418,             0.84453,             0.67784,             0.76823,             0.59818,            0.027892,           0.0069816,              0.0278,             0.00505,             0.00505,             0.00505
                  52,            0.028701,            0.015712,            0.021085,             0.78371,             0.69581,             0.76939,             0.59611,            0.029027,              0.0072,            0.030348,            0.004951,            0.004951,            0.004951
                  53,            0.028502,            0.015648,            0.020741,             0.80523,             0.71276,             0.77305,             0.60666,            0.028293,           0.0069763,            0.028111,            0.004852,            0.004852,            0.004852
                  54,            0.028653,            0.015749,             0.02014,             0.83292,             0.70794,             0.78177,             0.61128,            0.027771,             0.00699,            0.029096,            0.004753,            0.004753,            0.004753
                  55,            0.027827,            0.015046,            0.020762,             0.82054,             0.73365,             0.79173,             0.62288,            0.028211,           0.0068537,            0.026365,            0.004654,            0.004654,            0.004654
                  56,            0.027843,            0.015618,            0.020008,             0.80713,              0.7038,             0.77401,             0.60735,            0.027628,           0.0070038,            0.028053,            0.004555,            0.004555,            0.004555
                  57,            0.027634,            0.015267,            0.019561,             0.82009,             0.71118,              0.7856,             0.61677,            0.027833,           0.0068469,              0.0292,            0.004456,            0.004456,            0.004456
                  58,            0.027595,             0.01531,            0.019555,             0.84681,             0.69366,             0.77212,              0.6044,            0.027393,            0.006936,            0.027726,            0.004357,            0.004357,            0.004357
                  59,            0.027424,            0.014999,            0.020005,             0.84068,             0.70069,              0.7785,             0.61402,            0.027583,           0.0068741,            0.031632,            0.004258,            0.004258,            0.004258
                  60,              0.0275,            0.015496,            0.019861,             0.85187,             0.72227,             0.79854,              0.6307,            0.027134,           0.0069694,            0.029004,            0.004159,            0.004159,            0.004159
                  61,            0.026715,            0.015033,            0.018952,             0.83314,             0.72753,             0.79127,             0.62921,            0.026933,           0.0070218,            0.026402,             0.00406,             0.00406,             0.00406
                  62,            0.027444,            0.015295,            0.018538,             0.84551,             0.72318,             0.79238,             0.62359,            0.027215,           0.0068581,            0.029811,            0.003961,            0.003961,            0.003961
                  63,            0.027447,             0.01527,             0.01764,             0.84099,             0.71812,             0.79102,             0.62629,            0.027599,           0.0069469,            0.028049,            0.003862,            0.003862,            0.003862
                  64,            0.026549,            0.014815,            0.018346,               0.865,             0.71234,             0.78721,             0.62548,            0.027159,           0.0068686,            0.028506,            0.003763,            0.003763,            0.003763
                  65,            0.026643,            0.015002,            0.017797,             0.84797,             0.72198,             0.79258,             0.63692,            0.027102,           0.0069649,              0.0287,            0.003664,            0.003664,            0.003664
                  66,            0.026334,            0.014777,             0.01736,             0.86868,             0.70379,             0.80173,             0.63886,            0.026962,           0.0068794,            0.029886,            0.003565,            0.003565,            0.003565
                  67,            0.026182,            0.014615,            0.016499,             0.84682,              0.7256,             0.79774,             0.63857,            0.026544,           0.0069023,            0.027813,            0.003466,            0.003466,            0.003466
                  68,            0.026413,            0.015064,            0.016507,             0.83225,             0.73705,             0.79065,             0.63732,            0.026169,           0.0069888,            0.031105,            0.003367,            0.003367,            0.003367
                  69,            0.026051,            0.014946,            0.015991,             0.83215,             0.73741,             0.79576,             0.64353,            0.026905,           0.0068997,            0.029538,            0.003268,            0.003268,            0.003268
                  70,            0.026288,            0.014646,            0.016767,             0.83536,             0.74893,             0.79414,             0.64023,            0.026622,           0.0068704,            0.031713,            0.003169,            0.003169,            0.003169
                  71,            0.025783,             0.01465,            0.016059,             0.84208,             0.73105,              0.7981,             0.64485,            0.025885,           0.0068897,             0.02932,             0.00307,             0.00307,             0.00307
                  72,            0.025529,            0.014586,             0.01564,             0.85584,             0.74293,              0.8008,             0.64836,            0.026373,            0.006922,            0.028404,            0.002971,            0.002971,            0.002971
                  73,            0.025123,            0.014626,            0.015202,             0.86784,             0.73246,              0.8058,             0.64879,            0.026351,           0.0069738,            0.029733,            0.002872,            0.002872,            0.002872
                  74,            0.025462,            0.014561,            0.015236,             0.85805,             0.73024,             0.79974,             0.64622,            0.025901,           0.0068719,            0.028958,            0.002773,            0.002773,            0.002773
                  75,            0.025157,            0.014576,             0.01563,             0.88241,             0.72129,             0.80445,             0.65587,            0.026191,           0.0070475,            0.029564,            0.002674,            0.002674,            0.002674
                  76,            0.024709,             0.01443,            0.015018,             0.84433,             0.74252,             0.80839,             0.65871,            0.026378,           0.0068272,            0.030377,            0.002575,            0.002575,            0.002575
                  77,            0.024602,            0.013976,            0.014366,             0.89231,             0.74492,             0.81452,             0.65995,            0.026002,           0.0069381,            0.028923,            0.002476,            0.002476,            0.002476
                  78,            0.024759,             0.01425,            0.014299,             0.80239,             0.78904,             0.81511,             0.65949,            0.026245,           0.0068568,            0.030215,            0.002377,            0.002377,            0.002377
                  79,            0.024327,            0.014153,            0.014381,             0.78716,             0.78962,             0.81999,             0.66309,            0.025706,           0.0068744,            0.027128,            0.002278,            0.002278,            0.002278
                  80,            0.024061,            0.014015,             0.01467,              0.8523,             0.74873,             0.82246,             0.66719,            0.026161,           0.0068198,            0.027797,            0.002179,            0.002179,            0.002179
                  81,            0.024203,            0.013968,            0.013569,             0.87928,             0.73716,             0.82367,             0.66989,            0.026136,           0.0067999,            0.027449,             0.00208,             0.00208,             0.00208
                  82,            0.024211,            0.014341,            0.013633,             0.88942,               0.728,             0.82067,             0.66848,            0.026296,           0.0068838,            0.027251,            0.001981,            0.001981,            0.001981
                  83,             0.02424,             0.01398,            0.013623,             0.89637,             0.74495,             0.82612,             0.67678,            0.026256,           0.0067977,            0.027553,            0.001882,            0.001882,            0.001882
                  84,             0.02388,            0.013921,             0.01285,             0.78607,              0.7986,             0.82858,             0.67679,            0.025753,           0.0068532,            0.026919,            0.001783,            0.001783,            0.001783
                  85,            0.023665,             0.01386,            0.013715,             0.81359,             0.77744,             0.82982,             0.67385,             0.02623,           0.0068846,             0.02745,            0.001684,            0.001684,            0.001684
                  86,            0.023833,            0.013923,            0.012649,             0.86718,             0.75657,             0.82598,             0.67157,            0.025719,           0.0067932,            0.027859,            0.001585,            0.001585,            0.001585
                  87,            0.023671,            0.013794,            0.012095,             0.89088,             0.74812,             0.82563,             0.67543,            0.025699,           0.0068043,            0.028581,            0.001486,            0.001486,            0.001486
                  88,             0.02366,            0.013689,            0.013512,             0.79915,              0.7893,             0.82381,             0.67541,            0.025909,            0.006838,            0.028863,            0.001387,            0.001387,            0.001387
                  89,            0.023195,            0.013928,            0.013069,             0.80009,             0.77958,             0.83367,             0.68073,            0.026006,            0.006846,            0.028265,            0.001288,            0.001288,            0.001288
                  90,            0.023357,            0.013806,            0.012015,             0.80328,              0.8124,             0.83435,             0.68329,            0.025576,           0.0067617,            0.028481,            0.001189,            0.001189,            0.001189
                  91,            0.022965,            0.013991,            0.011399,             0.80536,             0.80528,              0.8365,             0.68758,            0.025775,           0.0067937,             0.02882,             0.00109,             0.00109,             0.00109
                  92,             0.02317,             0.01357,            0.012161,              0.8022,             0.81054,             0.83652,              0.6853,            0.025706,           0.0067673,            0.029126,            0.000991,            0.000991,            0.000991
                  93,            0.022558,            0.013513,             0.01169,              0.8189,             0.79618,             0.82952,             0.68126,            0.025693,           0.0068173,            0.028828,            0.000892,            0.000892,            0.000892
                  94,            0.021927,            0.013138,            0.011839,             0.83964,             0.78228,             0.83719,             0.68462,            0.025612,           0.0068182,            0.028379,            0.000793,            0.000793,            0.000793
                  95,            0.022313,            0.013479,            0.011708,             0.80537,              0.8043,             0.83752,             0.68405,            0.025495,            0.006828,            0.028145,            0.000694,            0.000694,            0.000694
                  96,            0.022328,            0.013396,            0.011858,             0.82383,             0.79266,             0.83562,             0.68578,            0.025634,           0.0068536,            0.027867,            0.000595,            0.000595,            0.000595
                  97,            0.021781,            0.013101,             0.01179,             0.83908,             0.77969,             0.83818,             0.68768,            0.025663,           0.0068602,            0.028254,            0.000496,            0.000496,            0.000496
                  98,            0.022306,            0.013397,            0.010794,               0.835,              0.7892,             0.83807,             0.68779,            0.025498,            0.006899,            0.028349,            0.000397,            0.000397,            0.000397
                  99,            0.021702,            0.013314,             0.01074,             0.80652,             0.80594,             0.83784,             0.68792,            0.025414,           0.0068473,            0.028302,            0.000298,            0.000298,            0.000298
