               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.07097,            0.026908,            0.074536,             0.21668,             0.12591,            0.051242,            0.027736,            0.049087,           0.0095207,            0.065212,            0.070126,           0.0033194,           0.0033194
                   1,             0.04903,            0.021256,            0.066488,             0.57367,             0.10736,            0.070357,             0.04442,              0.0435,           0.0083751,            0.062729,             0.04006,           0.0065869,           0.0065869
                   2,            0.045644,            0.020121,            0.062923,              0.5688,              0.1176,            0.077478,            0.039827,            0.052803,            0.010333,            0.059798,           0.0099278,           0.0097883,           0.0097883
                   3,            0.043169,            0.019937,            0.060384,             0.47973,             0.20914,             0.11523,            0.065273,             0.04341,           0.0098784,            0.055453,            0.009703,            0.009703,            0.009703
                   4,            0.040969,             0.02004,            0.057005,             0.70468,             0.20214,             0.18694,             0.11412,            0.039848,           0.0087552,            0.051694,            0.009703,            0.009703,            0.009703
                   5,             0.03949,            0.019809,            0.054968,             0.64523,              0.2364,             0.19962,             0.12452,            0.036777,            0.008897,            0.050753,            0.009604,            0.009604,            0.009604
                   6,            0.038239,            0.019695,            0.051919,             0.56568,             0.33506,             0.26865,             0.18012,            0.035377,           0.0083973,            0.046859,            0.009505,            0.009505,            0.009505
                   7,             0.03745,            0.019149,            0.050163,             0.56613,             0.35438,             0.30612,             0.19923,            0.035986,           0.0082632,              0.0442,            0.009406,            0.009406,            0.009406
                   8,            0.036496,            0.019445,             0.04902,             0.53032,             0.37993,             0.32119,             0.22401,            0.036524,           0.0086471,            0.047476,            0.009307,            0.009307,            0.009307
                   9,            0.036912,            0.018671,            0.048096,             0.50134,             0.36531,             0.34149,             0.22569,            0.036438,           0.0083943,            0.042584,            0.009208,            0.009208,            0.009208
                  10,            0.035822,            0.018257,            0.045133,             0.57056,             0.37964,             0.37828,             0.25201,            0.036309,           0.0082391,            0.041321,            0.009109,            0.009109,            0.009109
                  11,            0.035746,            0.018404,            0.045489,             0.49022,             0.45048,              0.4015,             0.27758,            0.034402,           0.0079161,            0.039701,             0.00901,             0.00901,             0.00901
                  12,            0.035269,            0.018622,            0.043228,              0.5562,             0.43711,             0.42518,             0.30128,            0.034423,           0.0081456,            0.040166,            0.008911,            0.008911,            0.008911
                  13,            0.034592,            0.017934,            0.042939,             0.54441,             0.51983,             0.46298,              0.3249,            0.033606,           0.0079796,            0.039881,            0.008812,            0.008812,            0.008812
                  14,            0.034656,            0.018259,            0.040491,              0.6061,              0.4726,             0.47627,             0.33195,            0.034573,           0.0079761,            0.041066,            0.008713,            0.008713,            0.008713
                  15,            0.034717,            0.018366,            0.041234,             0.66637,             0.48011,             0.52347,             0.37544,            0.033477,           0.0077761,             0.03668,            0.008614,            0.008614,            0.008614
                  16,            0.034546,            0.018091,             0.03836,             0.64138,             0.51745,             0.52296,             0.36295,            0.034688,           0.0082801,            0.036746,            0.008515,            0.008515,            0.008515
                  17,            0.034305,            0.018415,            0.038765,             0.66097,             0.53734,             0.54812,             0.39311,            0.033854,           0.0078222,            0.034831,            0.008416,            0.008416,            0.008416
                  18,            0.034178,            0.017572,            0.037653,             0.71245,             0.51158,             0.54975,             0.38627,            0.033514,           0.0078223,            0.034789,            0.008317,            0.008317,            0.008317
                  19,            0.033903,            0.017847,            0.036336,              0.6316,             0.56175,             0.57327,             0.40082,            0.032836,           0.0076168,             0.03563,            0.008218,            0.008218,            0.008218
                  20,            0.033607,            0.017581,            0.034909,             0.63079,             0.52964,             0.54969,             0.39325,            0.033736,           0.0081528,            0.038889,            0.008119,            0.008119,            0.008119
                  21,            0.033549,            0.017808,            0.035281,             0.60427,             0.58836,             0.58631,             0.42714,            0.032732,           0.0075928,            0.033931,             0.00802,             0.00802,             0.00802
                  22,             0.03342,            0.017565,            0.034783,             0.68742,             0.56748,             0.61651,             0.44105,            0.032279,            0.007546,            0.034173,            0.007921,            0.007921,            0.007921
                  23,            0.032402,            0.017181,            0.034526,             0.72993,             0.52871,             0.61068,             0.44071,            0.032994,            0.007729,            0.035884,            0.007822,            0.007822,            0.007822
                  24,             0.03298,            0.017275,            0.034216,             0.59681,              0.6091,             0.62115,             0.45606,            0.033063,           0.0076559,              0.0372,            0.007723,            0.007723,            0.007723
                  25,            0.033005,            0.017476,            0.033436,             0.64254,             0.61194,             0.63938,             0.47218,            0.032804,           0.0074886,            0.038519,            0.007624,            0.007624,            0.007624
                  26,            0.033004,            0.017306,            0.032204,             0.70909,             0.60532,             0.66641,             0.49015,            0.031936,           0.0075888,             0.03138,            0.007525,            0.007525,            0.007525
                  27,            0.032286,            0.017029,             0.03218,             0.65533,             0.62547,             0.65491,             0.48581,            0.032155,           0.0075857,            0.030792,            0.007426,            0.007426,            0.007426
                  28,            0.031681,            0.017068,            0.031822,             0.67872,             0.62232,             0.66545,             0.49478,            0.032708,           0.0074971,            0.032481,            0.007327,            0.007327,            0.007327
                  29,            0.031636,            0.017077,            0.032036,             0.70527,             0.63953,             0.67587,             0.50864,            0.032924,           0.0075299,            0.034353,            0.007228,            0.007228,            0.007228
                  30,            0.031266,            0.016908,            0.029582,             0.69501,             0.62843,             0.67993,             0.51158,            0.032782,           0.0073879,             0.03311,            0.007129,            0.007129,            0.007129
                  31,            0.031397,            0.017206,            0.029669,             0.75107,             0.60457,             0.67412,              0.5086,            0.032621,           0.0074116,            0.036937,             0.00703,             0.00703,             0.00703
                  32,            0.030873,            0.016543,            0.029884,             0.74712,             0.66683,              0.7228,             0.54153,            0.031854,           0.0075107,            0.031585,            0.006931,            0.006931,            0.006931
